name	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	H13	H14	H15	H16
H10-u1-g1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5051395007342144	0.0	0.0	0.0	0.0	0.0	0.0
H10-u1-g2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4684287812041116	0.0	0.0	0.0	0.0	0.0	0.0
H11-u1-g1	0.0	0.0	0.0	0.0	0.0	0.0033112582781456954	0.0	0.0	0.0	0.0	0.6813880126182965	0.0	0.0	0.0	0.0	0.0
H11-u1-g2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2870662460567823	0.0	0.0	0.0	0.0	0.0
H12-u1-g1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45454545454545453	0.0	0.0	0.0	0.0
H12-u1-g2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.050473186119873815	0.9090909090909091	0.0	0.0	0.0	0.0
H13-u1-g1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.696969696969697	0.0	0.0	0.0
H13-u1-g2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12727272727272726	0.0	0.0	0.0
H14-u1-g1	0.0	0.0	0.006058217997340295	0.0017006802721088435	0.0	0.0	0.006635700066357001	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
H15-u1-g1	0.0	0.0	0.0	0.0	0.0	0.0	0.0019907100199071004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
H16-u1-g1	0.0	0.0	0.0	0.0	0.0	0.0016556291390728477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8059701492537313
H1-u1-g1	0.13509946261902517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H1-u1-g2	0.862732158008862	0.0	0.0	0.0	0.009213323883770375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H2-u1-g1	9.427736400490242e-05	0.9707317073170731	0.0	0.0	0.00956768249468462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H3-u1-g1	0.0	0.0	0.9139536029158253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H4-u1-g1	0.0	0.0	0.0	0.766156462585034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H4-u1-g2	0.0	0.0	9.850760971285031e-05	0.5875850340136054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H5-u1-g1	0.002686904874139719	0.00975609756097561	0.0	0.0	0.9029057406094968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H5-u1-g2	0.002498350146129914	0.0	0.0	0.0	0.8890857547838412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H5-u1-g3	0.0	0.0	0.0	0.0	0.5255138199858257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H6-u1-g1	0.0	0.0	0.0	0.0	0.0	0.8923841059602649	0.0	0.0	0.00033647375504710633	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H7-u1-g1	0.0	0.0	0.00029552282913855094	0.0	0.0	0.0	0.5388188453881885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H7-u1-g2	0.0	0.0	0.002413436437964833	0.0	0.0	0.0	0.36960849369608495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H7-u1-g3	0.0	0.0	0.0	0.0	0.0	0.0	0.5998672859986729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H8-u1-g1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8372093023255814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H8-u1-g2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32558139534883723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H9-u1-g1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8250336473755047	0.0	0.0	0.0	0.0	0.0	0.0	0.0
