name	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	H13	H14	H15	H16
H11-u1	0.00014141604600735364	0.0	0.0	0.0	0.0	0.0033112582781456954	0.0	0.0	0.0	0.0	0.9558359621451105	0.0	0.0	0.0	0.0	0.0
H11-u2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9242902208201893	0.0	0.0	0.0	0.0	0.0
H11-u3	4.713868200245121e-05	0.0	0.0	0.0	0.004252303330970942	0.0	0.0	0.0	0.0	0.0	0.9716088328075709	0.0	0.0	0.0	0.0	0.0
H11-u4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9274447949526814	0.0	0.0	0.0	0.0	0.0
H11-u5	4.713868200245121e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9085173501577287	0.0	0.0	0.0	0.0	0.0
H13-u1	0.0	0.0	0.0	0.0	0.0	0.019867549668874173	0.0	0.0	0.0	0.0	0.0	0.0	0.9818181818181818	0.0	0.0	0.14925373134328357
H13-u2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8242424242424242	0.0	0.0	0.0
H13-u3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00033647375504710633	0.0	0.0	0.0	0.8303030303030303	0.0	0.0	0.0
H13-u4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8242424242424242	0.0	0.0	0.0
H1-u1	0.9267936268501933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H1-u2	0.8805505798057887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H1-u3	0.8808805505798057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H1-u4	0.880691995851796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H6-u1	0.0	0.0	0.0	0.0	0.0	0.9552980132450332	0.0	0.0	0.00033647375504710633	0.0	0.0	0.0	0.0	0.0	0.0	0.13432835820895522
H6-u10	0.0	0.0	0.0	0.0	0.0	0.9304635761589404	0.0	0.0	0.00033647375504710633	0.0	0.0	0.0	0.0	0.0	0.0	0.13432835820895522
H6-u11	0.0	0.0	0.0	0.0	0.0	0.7003311258278145	0.0	0.0	0.00033647375504710633	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H6-u12	0.0	0.0	0.0	0.0	0.0	0.8460264900662252	0.0	0.0	0.00033647375504710633	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H6-u13	0.0	0.0	0.0	0.0	0.006024096385542169	0.9536423841059603	0.0	0.0	0.00033647375504710633	0.0	0.0	0.0	0.0	0.0	0.0	0.13432835820895522
H6-u14	0.0	0.0	0.0	0.0	0.006024096385542169	0.9304635761589404	0.0	0.0	0.00033647375504710633	0.0	0.0	0.0	0.0	0.0	0.0	0.13432835820895522
H6-u15	0.0	0.0	0.0	0.0	0.006024096385542169	0.7003311258278145	0.0	0.0	0.00033647375504710633	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H6-u16	0.0	0.0	0.0	0.0	0.006024096385542169	0.859271523178808	0.0	0.0	0.00033647375504710633	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H6-u2	0.0	0.0	0.0	0.0	0.0	0.9321192052980133	0.0	0.0	0.00033647375504710633	0.0	0.0	0.0	0.0	0.0	0.0	0.13432835820895522
H6-u3	0.0	0.0	0.0	0.0	0.0	0.7019867549668874	0.0	0.0	0.00033647375504710633	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H6-u4	0.0	0.0	0.0	0.0	0.0	0.847682119205298	0.0	0.0	0.00033647375504710633	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H6-u5	0.0	0.0	0.0	0.0	0.0	0.9536423841059603	0.0	0.0	0.00033647375504710633	0.0	0.0	0.0	0.0	0.0	0.0	0.13432835820895522
H6-u6	0.0	0.0	0.0	0.0	0.0	0.9304635761589404	0.0	0.0	0.00033647375504710633	0.0	0.0	0.0	0.0	0.0	0.0	0.13432835820895522
H6-u7	0.0	0.0	0.0	0.0	0.0	0.7052980132450332	0.0	0.0	0.00033647375504710633	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H6-u8	0.0	0.0	0.0	0.0	0.0	0.859271523178808	0.0	0.0	0.00033647375504710633	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H6-u9	0.0	0.0	0.0	0.0	0.0	0.9536423841059603	0.0	0.0	0.00033647375504710633	0.0	0.0	0.0	0.0	0.0	0.0	0.13432835820895522
