name	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	H13	H14	H15	H16
H10-u1-g1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39060205580029367	0.0	0.0	0.0	0.0	0.0	0.0
H10-u1-g2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5198237885462555	0.0	0.0	0.0	0.0	0.0	0.0
H10-u1-g3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0631424375917768	0.0	0.0	0.0	0.0	0.0	0.0
H11-u1-g1	0.0	0.0	0.0	0.0	0.00035435861091424523	0.0	0.0	0.0	0.0	0.0	0.2586750788643533	0.0	0.0	0.0	0.0	0.0
H11-u1-g2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0946372239747634	0.0	0.0	0.0	0.0	0.0
H11-u1-g3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.668769716088328	0.0	0.0	0.0	0.0	0.0
H12-u1-g1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08080808080808081	0.0	0.0	0.0	0.0
H12-u1-g2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.898989898989899	0.0	0.0	0.0	0.0
H12-u1-g3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5858585858585859	0.0	0.0	0.0	0.0
H13-u1-g1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5333333333333333	0.0	0.0	0.0
H13-u1-g2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19393939393939394	0.0	0.0	0.0
H14-u1-g1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0
H14-u1-g2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
H15-u1-g1	0.0	0.0	0.0	0.0	0.0	0.0	0.007962840079628402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
H16-u1-g1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11194029850746269
H16-u1-g2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11940298507462686
